filepath,label,source_dataset
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (822).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (824).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (826).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (828).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (83).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (830).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (832).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (834).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (836).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (838).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (84).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (840).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (842).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (844).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (848).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (850).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (851).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (852).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (856).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (86).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (862).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (864).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (866).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (87).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (872).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (873).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (874).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (875).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (876).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (878).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (879).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (880).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (881).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (882).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (884).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (888).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (889).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (890).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (891).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (892).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (893).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (894).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (895).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (897).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (898).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (899).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (9).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (900).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (902).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (905).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (906).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (907).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (908).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (909).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (91).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (910).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (911).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (912).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (913).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (914).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (915).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (916).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (917).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (918).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (919).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (92).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (920).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (921).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (922).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (923).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (924).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (925).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (926).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (929).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (93).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (930).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (931).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (932).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (933).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (934).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (936).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (937).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (938).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (939).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (94).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (940).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (941).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (942).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (943).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (944).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (945).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (946).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (948).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (949).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (95).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (950).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (951).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (953).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (955).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (957).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (958).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (959).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (960).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (961).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (963).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (964).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (965).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (966).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (967).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (968).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (969).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (97).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (970).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (971).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (974).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (975).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (976).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (977).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (978).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (98).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (980).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (982).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (984).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (986).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (987).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (989).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (991).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (996).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (997).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (998).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (999).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (1).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (10).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (100).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (102).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (104).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (106).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (109).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (11).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (110).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (111).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (112).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (113).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (114).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (115).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (116).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (117).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (118).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (119).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (12).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (122).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (123).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (124).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (125).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (126).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (127).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (128).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (13).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (137).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (138).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (139).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (14).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (140).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (141).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (144).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (146).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (147).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (149).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (15).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (150).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (151).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (152).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (153).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (154).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (155).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (156).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (157).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (159).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (16).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (164).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (166).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (167).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (169).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (17).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (170).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (171).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (172).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (176).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (179).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (184).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (185).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (188).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (19).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (190).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (191).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (193).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (196).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (198).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (199).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (20).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (201).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (202).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (203).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (206).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (207).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (209).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (21).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (210).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (211).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (212).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (214).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (215).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (216).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (217).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (218).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (219).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (22).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (220).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (221).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (222).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (223).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (224).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (225).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (227).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (228).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (229).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (231).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (233).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (234).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (235).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (236).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (237).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (239).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (24).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (240).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (244).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (245).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (247).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (248).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (249).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (25).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (250).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (253).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (254).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (255).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (256).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (257).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (258).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (259).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (260).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (262).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (263).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (264).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (265).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (266).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (267).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (269).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (270).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (271).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (272).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (275).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (276).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (277).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (278).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (279).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (280).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (281).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (282).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (283).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (284).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (286).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (287).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (288).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (29).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (291).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (292).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (293).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (296).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (298).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (299).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (301).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (302).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (303).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (305).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (306).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (307).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (308).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (309).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (31).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (310).jpg,bad,mendeley
D:\Tyre_Classification\datasets\processed\bad\mendeley_bad_Defective (311).jpg,bad,mendeley
